ID,Month,MaxHour,MaxValue
ID005,1,12.0,397.49634837980193
ID005,2,12.0,614.2977500229637
ID005,3,12.0,1096.9859443562732
ID005,4,12.0,1249.5330512327375
ID005,5,10.0,1286.215250550859
ID005,6,11.0,1263.266148523662
ID005,7,12.0,1200.9194216146211
ID005,8,11.0,1218.3528199886755
ID005,9,10.0,1036.7328979083936
ID005,10,12.0,647.0724868516594
ID005,11,12.0,429.89420299594497
ID005,12,12.0,258.5537766138257
ID007,1,11.0,103.51291256472597
ID007,2,12.0,143.79035648516682
ID007,3,12.0,234.85314814394724
ID007,4,12.0,252.13648714571343
ID007,5,10.0,254.8458214261315
ID007,6,11.0,242.9767948363524
ID007,7,12.0,241.1134923591363
ID007,8,11.0,246.92280564009883
ID007,9,10.0,239.2267307812081
ID007,10,11.0,161.99241025965998
ID007,11,11.0,114.12702928851324
ID007,12,11.0,62.76100798602873
ID008,1,11.0,96.67960255925992
ID008,2,11.0,153.6976748268474
ID008,3,12.0,241.35448394345727
ID008,4,12.0,271.46752817735967
ID008,5,10.0,261.8683493362851
ID008,6,11.0,250.055301226616
ID008,7,12.0,256.54111245460894
ID008,8,11.0,258.9678626955781
ID008,9,10.0,256.4735657165886
ID008,10,11.0,169.74050522225684
ID008,11,10.0,127.45120588773908
ID008,12,10.0,71.07606605872114
ID016,1,13.0,37.54823312776833
ID016,2,12.0,91.74747486568036
ID016,3,11.0,190.844258333862
ID016,4,12.0,223.97198052947425
ID016,5,10.0,217.72498148052455
ID016,6,11.0,220.53190558617703
ID016,7,12.0,221.39067385742743
ID016,8,11.0,220.43795745482345
ID016,9,10.0,212.7936745186184
ID016,10,11.0,121.0049580709839
ID016,11,12.0,56.378420303876325
ID016,12,11.0,27.275329605403517
ID026,1,11.0,60.2696140271872
ID026,2,11.0,119.17899023077506
ID026,3,11.0,209.198509239762
ID026,4,10.0,233.26246196595895
ID026,5,10.0,239.82127533144117
ID026,6,11.0,232.762573489368
ID026,7,10.0,226.14480781876125
ID026,8,11.0,234.3853622698535
ID026,9,10.0,216.2626126993605
ID026,10,11.0,140.38561947661734
ID026,11,10.0,84.66738563920158
ID026,12,11.0,44.69408905828146
ID057,1,12.0,547.9739914042162
ID057,2,12.0,765.4517901852461
ID057,3,11.0,1187.5382472045833
ID057,4,12.0,1278.3657372694383
ID057,5,12.0,1196.7771620914975
ID057,6,11.0,1188.0400114517704
ID057,7,11.0,1164.847717675355
ID057,8,11.0,1202.8067112421966
ID057,9,11.0,1202.1736155179506
ID057,10,11.0,854.7197524709011
ID057,11,11.0,636.3515457561967
ID057,12,11.0,447.2478873200813
ID082,1,12.0,148.13930846770097
ID082,2,12.0,408.2644882171577
ID082,3,12.0,684.1441270880872
ID082,4,11.0,967.2003878203802
ID082,5,12.0,865.5695790340901
ID082,6,11.0,931.8623465580882
ID082,7,12.0,967.0376994804104
ID082,8,11.0,787.8485814071755
ID082,9,11.0,819.2129015753042
ID082,10,11.0,444.2342894242672
ID082,11,11.0,179.23586629534478
ID082,12,11.0,94.94886649274096
ID099,1,11.0,303.1528984870835
ID099,2,11.0,580.1288003766259
ID099,3,11.0,1201.9951078346674
ID099,4,12.0,1395.0554557997
ID099,5,10.0,1442.9330563894976
ID099,6,11.0,1418.941826225061
ID099,7,12.0,1389.8961019997028
ID099,8,11.0,1377.9286942772358
ID099,9,10.0,1262.868060071459
ID099,10,11.0,775.7026270367834
ID099,11,10.0,424.2356852549388
ID099,12,11.0,221.20078610851013
ID101,1,12.0,693.7416763007274
ID101,2,12.0,1059.1873601107354
ID101,3,12.0,1708.5070671289982
ID101,4,12.0,1854.7138520650012
ID101,5,11.0,1818.7045985499408
ID101,6,11.0,1758.1700352489374
ID101,7,11.0,1723.1335865702329
ID101,8,11.0,1685.2090548071417
ID101,9,11.0,1634.488086408529
ID101,10,10.0,1155.4977641963417
ID101,11,11.0,812.9986721864836
ID101,12,11.0,436.2703460048911
ID107,1,12.0,563.3654979851041
ID107,2,11.0,793.724073274795
ID107,3,12.0,1319.3586820876671
ID107,4,12.0,1431.3397121072317
ID107,5,11.0,1417.430279155578
ID107,6,11.0,1353.9872203775085
ID107,7,10.0,1316.6149874075545
ID107,8,11.0,1403.3689208467836
ID107,9,10.0,1333.2162956681286
ID107,10,10.0,919.038541532647
ID107,11,10.0,619.0208726010619
ID107,12,11.0,335.4937021662064
ID110,1,12.0,455.4245974632896
ID110,2,12.0,700.3990023094304
ID110,3,12.0,1122.8779732153218
ID110,4,12.0,1236.6147499575488
ID110,5,11.0,1229.4222050956653
ID110,6,11.0,1148.0384152984095
ID110,7,12.0,1149.1768712852893
ID110,8,11.0,1134.812253945151
ID110,9,11.0,1107.6133034868085
ID110,10,10.0,764.5873279781036
ID110,11,11.0,586.5713196064654
ID110,12,11.0,334.54415573419146
ID166,1,11.0,451.6619600709892
ID166,2,11.0,713.9357513361726
ID166,3,12.0,1459.400547097355
ID166,4,12.0,1883.710126691514
ID166,5,11.0,1982.1694068159527
ID166,6,12.0,1936.850439881929
ID166,7,12.0,1909.9535868705525
ID166,8,11.0,1770.5832819310192
ID166,9,11.0,1523.8264830068815
ID166,10,11.0,949.468439820239
ID166,11,11.0,533.5455605536667
ID166,12,11.0,323.79500707996414
