ID,Azimuth,Tilt,Month,Hour 1,Hour 2,Hour 3,Hour 4,Hour 5,Hour 6,Hour 7,Hour 8,Hour 9,Hour 10,Hour 11,Hour 12,Hour 13,Hour 14,Hour 15,Hour 16,Hour 17,Hour 18,Hour 19,Hour 20,Hour 21,Hour 22,Hour 23,Hour 24
ID003,203,40.0,January,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.13,309.4,474.58,604.82,706.08,701.43,596.44,400.77,53.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ID003,203,40.0,February,0.0,0.0,0.0,0.0,0.0,0.0,3.88,170.21,463.16,678.47,844.08,953.7,985.13,847.97,678.72,348.69,6.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ID003,203,40.0,March,0.0,0.0,0.0,0.0,0.0,4.65,80.64,338.52,661.41,906.0,1089.12,1188.52,1201.39,1068.3,876.19,632.96,239.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ID003,203,40.0,April,0.0,0.0,0.0,0.0,3.33,65.51,196.98,503.21,825.14,1047.27,1209.93,1302.2,1280.71,1134.02,935.72,709.33,400.36,53.47,0.0,0.0,0.0,0.0,0.0,0.0
ID003,203,40.0,May,0.0,0.0,0.0,0.0,40.39,123.17,260.32,560.06,851.41,1054.38,1158.09,1238.06,1225.4,1102.86,942.16,724.29,445.91,165.74,8.18,0.0,0.0,0.0,0.0,0.0
ID003,203,40.0,June,0.0,0.0,0.0,3.75,63.01,141.55,271.87,568.35,864.82,1086.71,1211.09,1284.49,1265.61,1177.45,1017.18,787.15,501.5,220.54,32.32,0.0,0.0,0.0,0.0,0.0
ID003,203,40.0,July,0.0,0.0,0.0,0.0,44.2,125.83,243.3,531.25,838.52,1067.56,1201.69,1283.94,1266.17,1180.15,1034.07,813.24,527.87,233.38,28.49,0.0,0.0,0.0,0.0,0.0
ID003,203,40.0,August,0.0,0.0,0.0,0.0,7.07,85.43,204.75,501.09,814.93,1057.61,1217.46,1292.24,1293.66,1182.81,1007.64,761.58,461.46,130.26,1.72,0.0,0.0,0.0,0.0,0.0
ID003,203,40.0,September,0.0,0.0,0.0,0.0,0.0,30.31,154.99,430.67,733.71,948.08,1095.33,1196.03,1159.48,1035.48,828.94,591.62,209.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ID003,203,40.0,October,0.0,0.0,0.0,0.0,0.0,0.0,73.92,317.99,560.33,730.2,891.08,988.34,940.53,797.18,590.28,242.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ID003,203,40.0,November,0.0,0.0,0.0,0.0,0.0,0.0,5.79,160.36,362.77,492.86,614.28,679.32,643.04,539.99,317.81,28.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ID003,203,40.0,December,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.54,292.23,449.5,558.32,613.67,597.39,475.04,208.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ID004,190,35.0,January,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.03,304.45,427.95,520.0,586.76,564.08,461.3,292.03,35.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ID004,190,35.0,February,0.0,0.0,0.0,0.0,0.0,0.0,6.52,204.31,456.93,615.3,731.03,799.08,800.74,666.38,508.37,242.89,4.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ID004,190,35.0,March,0.0,0.0,0.0,0.0,0.0,3.96,112.61,384.28,643.16,821.42,947.04,1001.73,984.53,849.17,667.93,450.74,150.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ID004,190,35.0,April,0.0,0.0,0.0,0.0,2.82,61.6,259.54,544.76,792.86,947.12,1052.96,1100.38,1054.63,908.73,723.3,517.85,259.86,29.97,0.0,0.0,0.0,0.0,0.0,0.0
ID004,190,35.0,May,0.0,0.0,0.0,0.0,34.72,121.64,324.65,590.71,813.51,953.77,1010.17,1050.63,1014.7,890.25,736.05,539.36,302.6,96.1,5.74,0.0,0.0,0.0,0.0,0.0
ID004,190,35.0,June,0.0,0.0,0.0,3.17,54.03,137.76,339.7,603.17,831.22,988.25,1061.4,1094.12,1051.35,953.67,799.75,593.16,350.14,134.17,23.59,0.0,0.0,0.0,0.0,0.0
ID004,190,35.0,July,0.0,0.0,0.0,0.0,37.98,117.73,308.39,573.74,812.06,974.25,1055.2,1094.93,1052.66,956.13,812.77,611.85,367.62,137.99,18.47,0.0,0.0,0.0,0.0,0.0
ID004,190,35.0,August,0.0,0.0,0.0,0.0,6.05,79.01,265.17,543.76,787.87,961.24,1063.76,1096.0,1068.66,950.76,782.99,562.44,307.26,72.92,1.25,0.0,0.0,0.0,0.0,0.0
ID004,190,35.0,September,0.0,0.0,0.0,0.0,0.0,30.05,203.67,459.85,698.52,851.57,947.17,1003.93,947.45,820.83,630.03,417.53,129.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ID004,190,35.0,October,0.0,0.0,0.0,0.0,0.0,0.0,94.47,333.38,525.24,647.33,761.96,820.05,757.72,618.57,432.76,162.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ID004,190,35.0,November,0.0,0.0,0.0,0.0,0.0,0.0,8.41,170.9,340.11,434.99,522.25,560.07,513.34,412.48,226.9,18.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ID004,190,35.0,December,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.93,280.79,400.23,475.85,505.3,475.17,361.48,149.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ID005,180,15.0,January,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.14,275.61,400.29,487.77,539.69,500.79,384.33,214.15,22.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ID005,180,15.0,February,0.0,0.0,0.0,0.0,0.0,0.0,7.08,209.07,463.25,618.8,725.97,781.39,761.24,610.22,432.06,181.37,2.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ID005,180,15.0,March,0.0,0.0,0.0,0.0,0.0,6.85,155.85,458.99,721.29,892.88,1007.32,1046.86,1008.01,848.99,642.16,403.97,118.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ID005,180,15.0,April,0.0,0.0,0.0,0.0,3.83,111.26,392.98,697.24,943.67,1083.93,1175.11,1206.48,1140.99,971.51,761.4,534.24,260.78,31.89,0.0,0.0,0.0,0.0,0.0,0.0
ID005,180,15.0,May,0.0,0.0,0.0,0.86,52.66,237.56,505.27,789.93,1008.8,1134.95,1172.9,1199.16,1144.94,996.57,820.78,604.07,348.25,121.07,6.88,0.0,0.0,0.0,0.0,0.0
ID005,180,15.0,June,0.0,0.0,0.0,4.17,81.26,276.09,548.19,828.67,1054.24,1197.73,1249.98,1265.07,1201.56,1083.85,910.39,684.28,420.7,180.84,30.99,0.0,0.0,0.0,0.0,0.0
ID005,180,15.0,July,0.0,0.0,0.0,0.0,55.1,235.81,505.35,789.63,1026.59,1175.04,1235.56,1257.36,1194.24,1076.22,913.65,692.63,430.05,178.19,26.07,0.0,0.0,0.0,0.0,0.0
ID005,180,15.0,August,0.0,0.0,0.0,0.0,7.81,147.71,416.6,716.59,958.7,1120.21,1206.65,1219.82,1171.81,1031.1,840.43,598.97,325.58,81.42,1.61,0.0,0.0,0.0,0.0,0.0
ID005,180,15.0,September,0.0,0.0,0.0,0.0,0.0,51.14,284.7,558.61,798.67,942.56,1027.1,1066.05,990.78,841.79,626.82,392.32,112.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ID005,180,15.0,October,0.0,0.0,0.0,0.0,0.0,0.0,109.9,363.15,556.85,673.16,778.54,821.05,738.96,577.3,373.6,122.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
